latitude,longitude,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Time
73.96,22.84,hammerfest,no,12.2,78.0,0.0,1.12,2018-02-02 00:50:00
39.38,134.8,wajima,jp,33.8,74.0,75.0,8.05,2018-02-02 00:00:00
22.7,-78.46,moron,cu,75.2,83.0,75.0,14.99,2018-02-02 00:55:00
-41.22,137.26,mount gambier,au,66.71,73.0,36.0,4.99,2018-02-02 01:14:50
4.09,74.32,male,mv,80.6,78.0,75.0,10.29,2018-02-02 00:00:00
49.18,36.29,krasnopavlivka,ua,23.64,86.0,32.0,12.03,2018-02-02 01:14:39
-27.2,17.92,keetmanshoop,na,73.14,32.0,0.0,12.15,2018-02-02 01:13:25
34.22,54.52,semnan,ir,22.43,70.0,0.0,7.45,2018-02-02 01:14:51
78.49,33.66,vardo,no,23.0,85.0,40.0,16.11,2018-02-01 23:50:00
57.66,103.62,rudnogorsk,ru,-2.33,82.0,76.0,3.2,2018-02-02 01:15:03
-19.87,-172.98,pangai,to,86.0,84.0,75.0,8.05,2018-02-02 00:00:00
46.76,-60.95,inverness,ca,24.8,92.0,75.0,3.36,2018-02-02 00:00:00
26.52,-7.08,tiznit,ma,49.83,88.0,0.0,5.77,2018-02-02 01:16:04
-42.4,-57.78,necochea,ar,65.94,73.0,0.0,8.01,2018-02-02 01:14:23
23.68,-78.26,andros town,bs,69.8,83.0,20.0,10.47,2018-02-02 01:00:00
7.6,145.45,lorengau,pg,81.24,100.0,68.0,18.63,2018-02-02 01:16:19
21.73,-16.98,nouadhibou,mr,59.0,77.0,0.0,16.11,2018-02-02 00:00:00
86.51,130.94,tiksi,ru,-26.18,40.0,68.0,17.74,2018-02-02 01:15:55
63.92,75.54,noyabrsk,ru,1.05,73.0,44.0,9.69,2018-02-02 01:14:42
35.63,126.17,seoul,kr,26.6,85.0,1.0,3.09,2018-02-02 00:56:00
65.27,-62.66,pangnirtung,ca,-22.44,64.0,32.0,2.42,2018-02-02 01:12:28
54.75,43.78,pervomaysk,ru,-2.6,61.0,24.0,2.98,2018-02-02 01:12:47
27.33,-92.53,abbeville,us,66.2,88.0,90.0,5.82,2018-02-02 00:35:00
-5.79,153.25,kokopo,pg,78.95,100.0,92.0,13.27,2018-02-02 01:12:39
-32.71,101.17,geraldton,au,80.6,44.0,90.0,18.34,2018-02-02 00:30:00
25.55,-126.42,lompoc,us,75.2,32.0,1.0,11.41,2018-02-02 00:56:00
7.25,104.98,ca mau,vn,75.84,91.0,12.0,11.7,2018-02-02 01:12:33
-51.76,-56.14,rawson,ar,81.51,35.0,0.0,3.98,2018-02-02 01:15:26
14.94,35.44,kassala,sd,58.7,94.0,0.0,5.55,2018-02-02 01:11:24
14.28,-107.21,san patricio,mx,78.8,69.0,75.0,5.82,2018-02-02 00:49:00
-13.84,121.5,broome,au,84.2,79.0,40.0,6.93,2018-02-02 00:30:00
46.86,-1.25,les herbiers,fr,35.6,93.0,0.0,4.7,2018-02-02 00:30:00
88.15,-147.61,barrow,us,23.0,48.0,1.0,13.87,2018-02-02 00:35:00
15.07,-46.63,sinnamary,gf,79.17,98.0,88.0,13.27,2018-02-02 01:12:32
33.85,75.71,pahalgam,in,-8.58,69.0,0.0,1.19,2018-02-02 01:07:30
44.38,36.62,taman,ru,42.8,81.0,0.0,11.18,2018-02-02 00:30:00
61.22,99.49,kodinsk,ru,1.46,80.0,64.0,3.42,2018-02-02 01:11:57
89.89,179.31,leningradskiy,ru,3.66,84.0,0.0,5.99,2018-02-02 01:13:39
23.54,26.5,asyut,eg,46.4,87.0,0.0,4.7,2018-02-02 00:00:00
41.21,-134.75,eureka,us,55.4,76.0,1.0,3.36,2018-02-02 00:55:00
16.73,160.67,butaritari,ki,81.65,100.0,0.0,12.03,2018-02-02 01:16:48
50.62,-115.52,canmore,ca,5.0,77.0,75.0,8.05,2018-02-02 00:00:00
39.8,55.74,gazanjyk,tm,22.88,81.0,48.0,3.2,2018-02-02 01:15:46
33.2,-35.27,ribeira grande,pt,60.72,100.0,76.0,10.69,2018-02-02 01:16:47
-27.73,55.77,saint-joseph,re,77.0,57.0,0.0,8.05,2018-02-02 00:30:00
-29.94,15.81,oranjemund,na,64.1,94.0,92.0,10.58,2018-02-02 01:15:11
56.6,108.61,kazachinskoye,ru,-11.15,56.0,20.0,2.53,2018-02-02 01:15:42
-1.82,141.07,vanimo,pg,81.11,100.0,76.0,16.62,2018-02-02 01:14:11
-45.03,-101.66,castro,cl,64.68,74.0,0.0,7.11,2018-02-02 01:13:50
32.56,-69.71,hamilton,bm,64.4,68.0,90.0,8.05,2018-02-02 00:55:00
25.06,82.7,mirzapur,in,52.8,83.0,0.0,3.2,2018-02-02 01:10:50
-26.42,122.86,port hedland,au,84.2,74.0,75.0,5.82,2018-02-02 00:30:00
13.36,10.13,nguru,ng,61.4,34.0,0.0,9.46,2018-02-02 01:16:38
9.37,101.77,ko samui,th,82.4,74.0,20.0,13.87,2018-02-02 00:30:00
4.38,87.72,kalmunai,lk,72.24,98.0,24.0,6.22,2018-02-02 01:15:19
62.2,14.84,ostersund,se,8.6,78.0,88.0,9.17,2018-02-02 00:20:00
